commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
968401ae6db3c8d3b96a782e4083fb08eec97846,2760.69,111.94,11.045968059,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2779.75,113.08,11.117166323,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2713.84,109.92,10.836715403,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2857.50,116.77,11.422312953,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2896.16,117.86,11.609275328,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2811.29,114.82,11.221715749,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2791.17,114.03,11.144638047,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2839.58,116.24,11.355363154,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2869.82,116.61,11.488641754,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2729.44,110.57,10.916441455,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2857.48,116.21,11.449602625,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2857.25,116.10,11.441622419,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2828.66,114.97,11.338810518,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2813.95,114.08,11.263676507,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2835.98,115.65,11.335808410,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2833.01,115.57,11.317186712,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2797.70,114.09,11.198527361,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2779.41,113.24,11.125463649,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2755.13,112.47,11.032238782,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2811.54,114.66,11.266033728,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2814.05,114.81,11.254585150,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2872.51,117.18,11.509231762,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2832.66,114.90,11.334229189,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2790.54,113.81,11.178790215,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2682.91,108.64,10.739542545,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2790.40,113.26,11.172142038,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2858.65,116.37,11.453312764,54000,55000
