commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
968401ae6db3c8d3b96a782e4083fb08eec97846,2389.90,97.07,9.519740581,54000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2406.52,98.09,9.569828333,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2424.84,98.75,9.664326333,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2364.74,96.38,9.430939385,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2425.53,98.88,9.641554718,54000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2349.20,95.60,9.359143197,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2351.10,95.52,9.367997942,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2346.76,95.61,9.350267610,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2360.93,96.27,9.381209874,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2346.86,95.32,9.348186921,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2408.33,98.19,9.582818304,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2379.19,96.78,9.446275917,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2392.84,97.64,9.520665330,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2408.97,97.93,9.582192473,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2311.35,94.08,9.171149656,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2375.33,96.74,9.446525868,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2364.70,95.62,9.425551245,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2412.62,98.26,9.625367321,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2402.29,97.92,9.555241268,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2363.47,95.82,9.424815952,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2375.27,96.37,9.462868569,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2421.17,98.44,9.639466031,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2370.76,96.70,9.424294901,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2396.19,97.47,9.546043000,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2358.36,95.79,9.391729483,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2387.69,96.77,9.501322741,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2417.97,98.06,9.611192614,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2378.00,97.03,9.435815500,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2375.48,96.62,9.455970398,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2410.16,97.58,9.642119751,56000,55000
ff9535c4e1fd871d482ab91b35e829626e7af0cd,2435.51,99.76,9.683603759,55000,55000
ff9535c4e1fd871d482ab91b35e829626e7af0cd,2346.94,95.59,9.354011063,55000,54000
ff9535c4e1fd871d482ab91b35e829626e7af0cd,2389.26,97.70,9.473696092,56000,55000
ff9535c4e1fd871d482ab91b35e829626e7af0cd,2335.86,95.06,9.314188143,56000,55000
ff9535c4e1fd871d482ab91b35e829626e7af0cd,2405.48,97.57,9.586063898,56000,56000
