commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
3ffefdb50088e7eda25d2b5bf16259e1b36c9f49,8854.19,342.60,37.263041864,52000,54000
e4bfbd36b055a4054ba551365615a16ceb36fc73,8713.43,336.57,36.662158646,53000,52000
585224c45fff2d44197520f2a2fb49371882051a,8665.29,335.99,36.568603054,53000,52000
d5abba4ff9ddb607a83e59ed116eb5eb6c0f57cc,8884.99,344.51,37.430410370,53000,52000
b0a0fb7b194bc305a6ccd319c4198008a054a2a4,8613.09,332.05,36.302840762,52000,52000
cefd397d8b51211efdd7ca088eee07e620668e86,8706.61,336.38,36.627469441,52000,52000
607201531a4aae4955d599e97ab401d8dcbc8c2e,8772.97,338.14,36.920070028,52000,54000
dbb421bc5519afd64dd08b00d8a1975f14a7b093,8777.62,337.99,36.897786322,53000,54000
67b7564d039a951231d18bfa95dbb7e8d52392f8,8803.09,339.57,37.033307650,53000,53000
b16aea8e8a4da2355770c493b695c33d85ecf1c1,9004.03,348.19,37.775484076,53000,54000
607201531a4aae4955d599e97ab401d8dcbc8c2e,8666.46,333.47,36.340602944,54000,54000
786b009a59f2437ad804d1bc2218270101d45da3,8800.92,340.10,36.859519896,54000,54000
91d47151e90c50ba0ea9c86b933aaed8ea687180,8717.88,333.76,36.573568401,54000,54000
b16aea8e8a4da2355770c493b695c33d85ecf1c1,8725.32,335.18,36.605990330,54000,54000
d5abba4ff9ddb607a83e59ed116eb5eb6c0f57cc,8693.76,334.38,36.496520543,53000,54000
e0981cea8795e460c4ea7efe9f59c05e3c137fdc,8770.55,338.92,36.754710446,54000,54000
e55306eafc7e90e02c29bf81744a90e2094d493b,8767.61,337.91,36.756809518,54000,54000
d0c84ee57a5804c506fb255b903bab620cdbda0c,8668.31,333.25,36.418131064,55000,54000
2eddd3302bc7563982e037018e3e09e315c98872,8899.84,344.72,37.333363109,54000,54000
b714d4c44540c577b18e31f24166c72a04fef681,8739.08,337.00,36.676414528,54000,54000
3970e1ae1066c828a1cdabd5dd2443079ddc02dd,8923.75,345.20,37.430179603,54000,54000
7b18b811c65f084275dfb208133519140e354e75,8937.54,344.36,37.507537926,54000,54000
724503d9a42aaaab9d49bc5d6b27e421794e7d1e,8960.29,346.63,37.576844202,54000,54000
fbe63afec2c6e41cd8571901c6f16d16abccdcb3,8665.47,333.45,36.387648956,54000,54000
cefd397d8b51211efdd7ca088eee07e620668e86,8790.09,338.59,36.901002700,54000,54000
dbb421bc5519afd64dd08b00d8a1975f14a7b093,8753.79,338.42,36.696689249,54000,54000
97b34a1cb1f8316fb2f7b1102c5fc8b9a9ffdfc6,8718.91,336.67,36.538085535,54000,54000
79083eeefb403d9bad0b524a8b20f9452d305094,8894.49,344.20,37.228448414,54000,54000
f91065a476d566a30d307c6c498f78e134df4f69,8648.73,331.76,36.283585514,55000,54000
b92b012bb17af61919554badcd5a7b99ca9f781c,8770.83,338.19,36.759633505,54000,54000
7f5fbb53b9521d8d974c6789f59153f3c697d0c3,8727.49,336.17,36.615848011,54000,54000
585224c45fff2d44197520f2a2fb49371882051a,8689.16,334.57,36.474924190,54000,54000
4e2de32ff022d66b6146e06a72898bebaf7ed7b4,8939.07,346.30,37.499323691,54000,54000
7180554929ccc87e03cf150bf7b5d0793042a7b1,8661.56,333.03,36.383821573,54000,54000
d08d15f525136211cb91e8067818848c23a7f13b,8720.52,336.56,36.627125334,54000,54000
97c36f3110ad6adf5059a4cf94d61fe65fe1ae56,8675.78,334.10,36.388810857,54000,54000
92a81eb5bb8c767bc85811b16562a39f54330eb5,8921.01,345.36,37.399189327,54000,54000
91d47151e90c50ba0ea9c86b933aaed8ea687180,8703.33,336.54,36.463479294,55000,54000
e55306eafc7e90e02c29bf81744a90e2094d493b,8636.23,331.88,36.291094244,54000,55000
b375b411140336ea6fce3a537f2255d332fcf9a5,8820.36,341.38,37.042327466,54000,54000
f6ffaef39d079ccb4d7ad9bb9f1180e470767916,8760.46,338.37,36.756026530,54000,55000
e5042deaea75058e0a0f7fdc415fccbdb08f0493,8776.70,339.64,36.858128363,54000,55000
b92b012bb17af61919554badcd5a7b99ca9f781c,8725.37,337.05,36.593444171,54000,54000
