commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
f3807492bd0f54511cf70f0ace6fcd52541ea414,4254.20,168.06,17.659937424,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4238.56,167.29,17.602208154,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4206.89,164.79,17.495097396,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4230.63,165.60,17.548783410,54000,53000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4240.38,166.48,17.598071068,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4177.19,164.96,17.344301602,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4214.19,165.29,17.517140832,54000,53000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4236.31,165.67,17.573082107,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4193.23,164.24,17.445119724,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4269.07,167.77,17.758686500,53000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4203.95,163.55,17.444622392,53000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4210.73,165.58,17.466993281,54000,53000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4209.92,165.18,17.439621146,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4209.61,164.54,17.476537272,54000,53000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4200.33,165.93,17.432228178,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4318.91,170.61,17.953537377,54000,53000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4226.83,165.00,17.557216548,54000,53000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4234.73,166.89,17.569797885,53000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4267.98,167.39,17.705242953,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4214.94,166.08,17.490506160,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4248.37,166.28,17.658561224,54000,53000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4233.75,167.00,17.565857379,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4264.27,167.52,17.724834805,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4251.63,168.05,17.665635198,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4197.27,164.43,17.410038911,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4236.70,165.88,17.569444603,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4304.75,169.52,17.864324333,54000,55000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4216.21,166.28,17.517893948,55000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4247.51,166.36,17.624415167,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4305.46,169.73,17.855881826,54000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4223.88,166.24,17.565646851,54000,53000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4212.82,165.65,17.516026785,54000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4211.72,165.15,17.509854833,53000,53000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4223.31,165.38,17.540363431,54000,53000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4279.21,168.68,17.809387103,54000,53000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4234.33,166.55,17.547226662,54000,53000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4241.46,166.93,17.635106191,54000,53000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4266.14,168.50,17.736558128,54000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4250.62,167.05,17.652878216,53000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4204.23,164.23,17.427452577,53000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4220.83,164.62,17.485485183,54000,55000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4269.91,167.27,17.752139363,53000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4250.91,167.03,17.672953451,54000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4213.41,165.19,17.533041853,54000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4207.70,165.66,17.469884907,54000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4225.73,165.80,17.540222209,54000,54000
e44d23084d40e02c2aa4246b085fc7d50b6f1cec,4195.06,164.64,17.399851173,54000,54000
