commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
66938d659e6d6e52ab020501bfe703cdf714a213,5527.12,215.50,22.935174116,54000,53000
6f6e22edf8bf41f0542c5b349a79bc2df5819532,5551.59,218.42,23.007990827,54000,54000
b17e1883739e45eaf282b8ead722245ced8272ba,5848.00,230.19,24.040280770,54000,54000
8fab2b00a7cc23f398e7a285a163ddcabd8475ad,5446.79,213.24,22.614395830,54000,54000
499db0ebda8a4e4cc2506dca35d38ca6ed53a38e,6643.09,257.87,27.634292128,54000,54000
40db54a636473e0d42ca6d46f69c8224759f1299,6409.05,249.22,26.664627303,54000,54000
1c774e1b0dbe0329fb522db59351a5a80a405fd7,6586.84,256.63,27.415507293,55000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4261.25,167.11,17.654400294,54000,54000
6d74decd3226bcc607564ccef62bc97c540162af,6653.11,260.35,27.687342836,54000,54000
65c5342f55ecbade28998e8f13945b25477193f4,6552.42,257.27,27.240648902,54000,54000
53836693216766b13b5d6beacfd562c4d45cae8e,5639.11,222.08,23.384515157,54000,54000
31de45dd9557168442f4e557f062c360bbc0782e,5500.33,215.77,22.859282998,54000,54000
1c4a7dc1ab4386e34107ce69f215abb5027bae15,6372.76,248.71,26.517465515,54000,54000
ce0a96abf0ddde737549cdbb1d068d72ad02ebf0,4270.60,167.39,17.707087831,54000,54000
2328311c7c86015f4e24cea36623d4a8ad0e63b2,4334.91,170.80,17.965076140,54000,54000
01bb0b1f6e0905abb9b1d3c5d6f865c7fbe0762f,6752.25,264.14,28.096291120,54000,54000
2710d1b37cee47dc88cc00ba7c4920ede0fdde79,8444.50,328.89,35.068825883,54000,54000
b616428305a308150e7100c0704337a3d69da86f,8509.34,331.57,35.383498620,54000,54000
50442f833b4ea4bc346d8f15f8a7f5fbd079c772,5470.72,212.82,22.741706036,54000,55000
bc9ff6ba5b397047819af2307e6295c885911117,6382.30,248.82,26.563869352,54000,54000
66938d659e6d6e52ab020501bfe703cdf714a213,5502.70,214.76,22.890840603,54000,54000
6f6e22edf8bf41f0542c5b349a79bc2df5819532,5564.94,219.16,23.092834443,54000,54000
b17e1883739e45eaf282b8ead722245ced8272ba,5904.36,232.12,24.384044849,54000,54000
8fab2b00a7cc23f398e7a285a163ddcabd8475ad,5494.65,214.68,22.896591685,54000,54000
499db0ebda8a4e4cc2506dca35d38ca6ed53a38e,6834.88,268.43,28.582269334,54000,54000
40db54a636473e0d42ca6d46f69c8224759f1299,6675.87,262.68,27.919294631,54000,54000
1c774e1b0dbe0329fb522db59351a5a80a405fd7,6628.78,259.15,27.697732096,54000,54000
f3807492bd0f54511cf70f0ace6fcd52541ea414,4231.78,166.12,17.610510551,54000,54000
6d74decd3226bcc607564ccef62bc97c540162af,6557.37,256.29,27.404956358,54000,55000
65c5342f55ecbade28998e8f13945b25477193f4,6391.04,248.80,26.651804536,54000,54000
53836693216766b13b5d6beacfd562c4d45cae8e,5685.36,224.15,23.688700232,54000,54000
31de45dd9557168442f4e557f062c360bbc0782e,5513.94,215.32,22.961891798,55000,54000
1c4a7dc1ab4386e34107ce69f215abb5027bae15,6311.48,246.93,26.317741382,54000,54000
ce0a96abf0ddde737549cdbb1d068d72ad02ebf0,4221.35,164.93,17.518186776,55000,54000
2328311c7c86015f4e24cea36623d4a8ad0e63b2,4246.94,167.11,17.656708346,54000,54000
01bb0b1f6e0905abb9b1d3c5d6f865c7fbe0762f,6555.59,255.59,27.368559826,54000,54000
2710d1b37cee47dc88cc00ba7c4920ede0fdde79,8343.25,326.30,34.841244551,54000,54000
b616428305a308150e7100c0704337a3d69da86f,8411.43,326.35,35.109994969,54000,54000
50442f833b4ea4bc346d8f15f8a7f5fbd079c772,5486.22,214.01,22.900502254,54000,54000
bc9ff6ba5b397047819af2307e6295c885911117,6366.44,248.62,26.588450694,54000,54000
66938d659e6d6e52ab020501bfe703cdf714a213,5545.62,218.17,23.144405763,54000,54000
6f6e22edf8bf41f0542c5b349a79bc2df5819532,5573.53,218.69,23.190953395,54000,55000
b17e1883739e45eaf282b8ead722245ced8272ba,5859.76,231.91,24.168184968,54000,54000
8fab2b00a7cc23f398e7a285a163ddcabd8475ad,5450.18,213.89,22.720737159,54000,54000
499db0ebda8a4e4cc2506dca35d38ca6ed53a38e,6744.64,262.02,28.150907733,54000,54000
40db54a636473e0d42ca6d46f69c8224759f1299,6408.18,249.44,26.734497002,54000,54000
