commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
31ad0686f949f4a772b3b843403d8e221d7ef57c,2292.06,88.55,9.625715644,54000,55000
cf8822103dfc12c93b459518cc72e92cd6cab51b,2219.50,85.44,9.316423102,54000,55000
c6208d2c8d3f3cb45215053f2656683844155e8a,2012.35,77.76,8.416415861,54000,54000
a62f7317a353031ec7229397b40dbdf330524b3c,2817.27,108.42,11.845600139,55000,55000
9329ae9ea40ebd2dca20413857dea293e83456f2,2139.14,82.62,8.936465378,54000,54000
8a342fda89d457a585f515d99e6b4106d490b220,2135.12,81.75,8.946679820,55000,55000
4848432864c9c2fb27b2753deb98ae92f0b8c485,3354.33,128.76,14.108640892,55000,55000
b5761608fc8862a58403b88f4582b5f883ad31ea,2104.84,80.76,8.816341713,55000,55000
ae606bf695eb20559e824600245b781d815d23e1,1994.81,76.19,8.355841822,54000,54000
dc3b6c59d2d4dc1b72424785e9b8455b1df15664,2116.87,81.01,8.862192839,54000,55000
ce551fd050b668bf1a6f39e6b12fdad9f8619468,3283.26,125.51,13.808068285,55000,54000
13facef45fdac2388167597f13b40802ff1ad75f,3220.73,122.98,13.576229462,54000,55000
0ef4b70b2acf47c1094aedbb9954324a2e84c05e,2166.70,82.26,9.071280270,54000,55000
c393413d45f9be6915d6f243b255bd4df18d2774,2110.06,80.68,8.850016690,54000,55000
01b3900107114f441860ee3d03aba03caef42804,1894.22,72.53,7.932860817,54000,54000
0679bef07f1e29ae72ae54102d5af9a1f80d45d4,1940.59,74.78,8.109378661,55000,54000
b77e51bac1191faf328fa52ae29fcaf9d0456954,3341.28,127.89,14.046919762,54000,54000
73d450657932370e516f205537b395d1d055d043,2133.21,81.65,8.934448726,54000,54000
3a767deb3fad99bc91cadf799e726dea29de042d,3499.80,133.02,14.711158915,54000,54000
13f42529d656ddf140022707581f040bbb460e2a,2002.94,76.88,8.394838826,54000,55000
6b5dbd0b7906842345194c0c863f2575b533786d,2049.02,78.70,8.581292364,54000,54000
9844d209332df5ffd6894fdc9a89436278ec7edd,3005.26,115.60,12.613758840,54000,55000
31ad0686f949f4a772b3b843403d8e221d7ef57c,2288.76,88.09,9.583785467,54000,54000
cf8822103dfc12c93b459518cc72e92cd6cab51b,2141.53,82.19,8.962052678,54000,55000
c6208d2c8d3f3cb45215053f2656683844155e8a,2011.70,77.37,8.399959846,54000,54000
a62f7317a353031ec7229397b40dbdf330524b3c,2779.30,106.93,11.652860241,54000,54000
9329ae9ea40ebd2dca20413857dea293e83456f2,2074.10,79.73,8.675629067,54000,54000
8a342fda89d457a585f515d99e6b4106d490b220,2144.20,81.51,8.976417411,54000,54000
4848432864c9c2fb27b2753deb98ae92f0b8c485,3457.21,131.50,14.514034599,54000,54000
b5761608fc8862a58403b88f4582b5f883ad31ea,2137.71,81.87,8.954173216,54000,54000
ae606bf695eb20559e824600245b781d815d23e1,1944.18,73.69,8.149220665,54000,54000
dc3b6c59d2d4dc1b72424785e9b8455b1df15664,2068.42,79.05,8.662347786,54000,55000
ce551fd050b668bf1a6f39e6b12fdad9f8619468,3325.53,127.42,13.966233339,54000,54000
13facef45fdac2388167597f13b40802ff1ad75f,3263.24,124.21,13.750551449,54000,54000
