commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1367.70,53.80,5.533223664,53000,53000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1380.84,54.11,5.561126319,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1393.23,54.87,5.590609327,53000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1400.30,54.75,5.613784874,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1386.09,54.17,5.562809895,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1384.29,54.31,5.550099551,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1386.22,54.64,5.560870558,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1394.33,54.93,5.584589310,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1413.25,55.18,5.663102235,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1390.20,54.41,5.586704687,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1422.18,55.76,5.709356733,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1376.56,53.88,5.511737471,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1383.32,54.21,5.549428812,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1406.57,55.19,5.622749789,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1393.51,54.68,5.586303148,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1382.74,54.18,5.544229479,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1385.32,54.18,5.550153070,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1383.34,54.23,5.533760864,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1420.20,55.46,5.685024889,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1393.79,54.47,5.586804931,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1417.73,55.57,5.673637863,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1405.94,55.17,5.620832009,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1404.33,54.69,5.629136782,53000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1380.63,54.24,5.521275756,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1392.34,54.48,5.578149220,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1390.55,54.47,5.568751817,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1383.34,54.44,5.534343061,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1406.83,54.97,5.630345608,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1404.73,55.07,5.613466619,53000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1413.07,55.42,5.661031643,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1393.11,55.08,5.628942848,53000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1409.08,55.37,5.670674843,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1421.87,55.98,5.703135666,53000,53000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1396.22,54.75,5.598572416,54000,53000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1404.71,55.20,5.631570629,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1410.43,55.44,5.661819712,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1406.28,55.40,5.641247717,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1393.69,54.70,5.592462754,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1432.46,56.46,5.740863716,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1412.82,55.46,5.664542300,54000,53000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1416.05,55.68,5.676177935,53000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1422.25,55.80,5.708480791,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1404.21,54.95,5.615774704,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1396.77,54.79,5.592049872,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1400.02,55.19,5.605715219,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1415.05,55.68,5.666780164,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1402.71,55.02,5.621818202,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1414.89,55.41,5.660849887,55000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1422.65,55.87,5.687995053,54000,53000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1413.21,55.53,5.667773224,53000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1396.21,54.81,5.593818732,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1400.31,54.81,5.611391409,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1410.26,55.33,5.646189501,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1425.16,55.74,5.704401954,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1422.67,55.72,5.700212305,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1409.32,55.22,5.638717058,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1404.45,54.96,5.623892424,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1425.36,55.57,5.703939067,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1415.27,55.78,5.664500241,54000,54000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1434.04,56.39,5.739749867,54000,54000
