commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
5a248637415c5e219ba0142ea7f1b066a9ebd25f,1381.96,54.58,5.592269932,56000,55000
5233ac61b62e943f4e983e502e5bd0b032f2c2e6,1401.00,55.60,5.642358721,56000,57000
e6e71118c0a1fcf5c47eefbce67b851318d6216c,1409.82,55.96,5.677577101,57000,55000
41e45ca5950ecc8f250775a4432948b5910eba45,1531.19,60.93,6.155772836,57000,56000
c0d4e37d372fe99ab908a4a3afff450859c652e3,1448.51,57.23,5.836421592,56000,57000
51043a829c09e05d1bdb83625c4cd5b0c16fabcb,1447.08,57.15,5.833708212,56000,56000
609ca31f585d2cf6404a6e77b047d91bb634cfad,1445.20,56.98,5.813757113,57000,57000
b7a4382f1a55472e8379796149126f37999731b7,1416.26,56.09,5.697569585,56000,55000
a31c868a871677c50bbe100c83c4f31c94bcda8f,1567.21,62.30,6.280860719,58000,56000
b7a4382f1a55472e8379796149126f37999731b7,1394.72,55.17,5.602356605,56000,56000
adb9650f17520f1de630abc1758e25997263276d,1530.64,60.84,6.125645354,56000,56000
62bdd1beaee41035965d99c20e517da927bb97ae,1410.88,55.99,5.661674309,57000,56000
ce6c1b13e5a0d86acd6b3db9eb73479e33eaf851,1407.56,55.68,5.641498118,56000,56000
4e1d847e4c83052a93c7f49812af917d322756f4,1399.38,55.19,5.618024720,56000,56000
21696e5fe73093fd8a5bd42e0c40f0a5a6ce27bf,1552.84,61.57,6.226452972,56000,55000
494d4bc425a8c2859dbef0bd55a4006c6bc72536,1465.62,57.66,5.891169855,55000,56000
f8a21d6b7549424a444867157cf5aa569bd53faf,1528.43,60.37,6.127608242,56000,56000
b8ad84648f7a947fb4f9a15507c4ce0be062c54a,1557.30,61.63,6.236345100,57000,55000
bbf09ddf3be09ad597406583899fa3811231db6a,1395.52,54.93,5.598852391,56000,55000
91305e3955f21e1d3df99a2d6167da46362e7a01,1415.38,55.75,5.681103041,55000,56000
cbfd462693baf7ed51d75508ea8ea9800a8dfae5,1446.42,56.86,5.807265377,56000,55000
cbfd462693baf7ed51d75508ea8ea9800a8dfae5,1442.27,56.62,5.792650130,56000,56000
18f738f8caadcb015ef9ccb323dfc4bf3cbc71ac,1458.81,57.61,5.848699365,56000,56000
3b3043e3e25a3410bd9c2243f30d6e26926bc646,1458.11,57.45,5.849348548,57000,56000
6451625786eb5d39f67be2d1c62644ce7f34ffa3,1548.92,61.05,6.185685302,55000,56000
0138ac401ae8da2b12fdcbe580b6f73feedd6a6b,1541.00,60.79,6.160230913,55000,56000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1393.33,54.82,5.578466276,56000,55000
a31c868a871677c50bbe100c83c4f31c94bcda8f,1545.33,61.09,6.177534299,55000,55000
e7e2b518cd8d5c57e6ace7a005af6ae8b2edaf50,1400.01,54.99,5.617595050,55000,55000
bbf09ddf3be09ad597406583899fa3811231db6a,1398.36,54.89,5.604835018,55000,56000
107a8b44f8e04650b0b4989912f2ccda6619c031,1393.17,55.03,5.583310803,56000,55000
64e2f833104ef190de3255981015e2af97da257f,1464.28,57.75,5.866591328,55000,56000
107a8b44f8e04650b0b4989912f2ccda6619c031,1422.20,56.46,5.693688885,56000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1420.69,55.96,5.716149641,56000,56000
4d524e387ff908043ef72fa37f3ed613cdd39e69,1403.37,55.25,5.624187338,55000,55000
960908c60bb2d39cee35b175a56138bed390674c,1426.70,56.51,5.703249373,56000,55000
46b4a764e023a91faac1a085a7a7b6f0bb7428cd,1449.66,57.10,5.807495342,56000,55000
6c8774e0e7cba6ef9eac17c90f81004b9ee79c51,1442.84,56.81,5.783789732,56000,55000
56c5c555148b3a2f718ce556363304cab0709374,1423.66,56.30,5.703985936,56000,56000
dbdc91b2ce8448c5c40ab81dc71b69a8ed6999a6,1411.81,55.49,5.642458642,55000,55000
a951cb2082086e614d12ce18c3a9bf9333e9a60d,1457.17,57.23,5.835864570,56000,56000
51043a829c09e05d1bdb83625c4cd5b0c16fabcb,1447.84,56.86,5.792358717,56000,56000
cd6326b39c2477ee5d8a030568a96a95e539fd19,1438.28,56.52,5.759682674,55000,56000
a0ce6f065a3e3abd1b832367639f09ea31248420,1527.73,60.16,6.101574111,56000,56000
4d524e387ff908043ef72fa37f3ed613cdd39e69,1403.79,55.19,5.612906457,56000,55000
d13395213eb2b026fe11d5dda3177593ca353ffc,1465.99,57.74,5.868075446,56000,56000
7eea23784947d624dacd57776d450c3215b4583f,1543.27,60.50,6.158986048,54000,56000
960908c60bb2d39cee35b175a56138bed390674c,1401.88,54.94,5.606553921,56000,55000
494d4bc425a8c2859dbef0bd55a4006c6bc72536,1465.18,57.62,5.867282061,55000,55000
dca9510ec9a98d37c3798ee8388f4ba8e954fef4,1392.24,54.51,5.568190829,55000,56000
fea6020b3d1e6d546f78cab6962cad780f8a11da,1405.24,55.09,5.627082286,55000,56000
960908c60bb2d39cee35b175a56138bed390674c,1403.15,55.26,5.609780720,55000,56000
7e7434b0ee4acd59d8f57a55bebc692c62f06190,1546.80,61.27,6.171283933,56000,56000
cbfd462693baf7ed51d75508ea8ea9800a8dfae5,1469.42,57.62,5.894339108,56000,56000
62bdd1beaee41035965d99c20e517da927bb97ae,1397.18,54.85,5.589426143,55000,56000
56b1c644bbc0df9606572680781b8b89a7355cd8,1433.70,56.15,5.741531380,55000,55000
cbfd462693baf7ed51d75508ea8ea9800a8dfae5,1440.36,56.36,5.769440856,55000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1397.80,54.91,5.604148044,55000,56000
5588e7eb2fc24a265b5650e65d3452774726e86d,1460.45,57.21,5.845550026,55000,56000
5dce2374aae6a1af981764a07fb138bbd3eb179d,1568.95,62.25,6.260590632,56000,54000
c0d4e37d372fe99ab908a4a3afff450859c652e3,1442.54,56.76,5.772885363,54000,56000
0a7c9d027afb599101817ed7d06d22b95912de06,1450.32,56.94,5.803624937,56000,56000
e8d62f313be55637354b3e0ad69ae807c4d67fb6,1563.14,61.72,6.231139039,56000,55000
56c5c555148b3a2f718ce556363304cab0709374,1409.29,55.43,5.636836295,56000,56000
4bcfa0ee8d481f29a44c788aa3e3fd8d20a8393e,1402.07,55.07,5.606577734,56000,55000
ccea5c486b0f6fe1cb43cf7df36d7a94c2496c56,1462.08,57.24,5.846650546,56000,56000
bbf09ddf3be09ad597406583899fa3811231db6a,1396.62,54.84,5.594718823,56000,55000
a885f084ebb9be660f83cce9aa85ff734ee2023e,1564.35,61.58,6.241458444,56000,55000
c61d10302690b7daa738ebaf07c1f46185dc6e60,1444.82,56.79,5.788884027,56000,56000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1401.68,54.92,5.610006041,56000,56000
e7e2b518cd8d5c57e6ace7a005af6ae8b2edaf50,1389.40,54.64,5.561011016,56000,55000
d6f37cf1658efd2d80dc19bb2beb86264b9d2887,1398.68,55.10,5.626405051,56000,56000
4ec362d123f57e4fffb8be6032da3382847a41e9,1430.49,56.52,5.747731142,56000,54000
fdc70cbab33a8c5345d1a497a9ce203e8440aba6,1552.85,61.40,6.195309505,55000,56000
3b3043e3e25a3410bd9c2243f30d6e26926bc646,1453.60,57.00,5.830210065,55000,56000
52be12c072df48763c890dca2cb916f9f7a529f9,1405.22,55.28,5.619798993,55000,54000
a0ce6f065a3e3abd1b832367639f09ea31248420,1527.65,60.49,6.088845036,56000,56000
21696e5fe73093fd8a5bd42e0c40f0a5a6ce27bf,1558.11,61.37,6.223602369,55000,55000
957b3dda6ab2f4bf7e6a87fa10577622bbfebee0,1454.48,57.11,5.838469795,56000,55000
762ba741dc550cea2b64869483bc9ec53c16fb06,1546.15,61.10,6.177879699,55000,56000
cd6326b39c2477ee5d8a030568a96a95e539fd19,1451.35,57.27,5.810413307,55000,56000
cea55f7a4c53f6b4166f2bbf342a823c23d4dba8,1423.28,55.94,5.685653031,55000,56000
d8611587abc5571f0284490e7fc403871eb0944d,1486.79,58.25,5.958776527,55000,55000
e538564debacb8a6bffa626f191e8959d48c6797,1449.79,56.82,5.809283102,56000,55000
e538564debacb8a6bffa626f191e8959d48c6797,1468.34,57.52,5.879885208,55000,55000
af27037cd8ed239375446bdf78cb9e3d53fcf86f,1391.14,54.53,5.570437927,55000,55000
dd8b743094c466efa954ebcc00276c09bba36ca2,1455.28,56.94,5.830187620,55000,56000
37845b13ccfe3508068318906a6d8df31641a363,1462.37,57.51,5.845334170,56000,56000
762ba741dc550cea2b64869483bc9ec53c16fb06,1541.75,60.85,6.159264873,56000,54000
b7a4382f1a55472e8379796149126f37999731b7,1414.60,55.59,5.652009893,56000,56000
4f4ae9203b992eb032cc4923d615006298952651,1419.41,55.90,5.663012488,54000,55000
20c189a240e1f863d07a5cf91453cc1c2fdf4823,1545.75,61.02,6.169177639,54000,54000
b2c3786228805f8a9e2ed1151e4e33a3bf7e3a70,1416.48,55.38,5.674255543,54000,55000
46b4a764e023a91faac1a085a7a7b6f0bb7428cd,1432.18,56.27,5.733508557,55000,54000
e7e2b518cd8d5c57e6ace7a005af6ae8b2edaf50,1399.12,54.97,5.595037609,55000,55000
64e2f833104ef190de3255981015e2af97da257f,1456.28,57.21,5.830762557,56000,55000
3b3043e3e25a3410bd9c2243f30d6e26926bc646,1457.72,56.92,5.835316672,54000,56000
3ea9c83e918ae0684f7457afc7383aa1bfb09071,1477.57,57.79,5.908510535,55000,54000
4d524e387ff908043ef72fa37f3ed613cdd39e69,1410.80,55.39,5.636523277,55000,55000
5a339aaeebae4084a4907243ae10bf19c64d5317,1481.69,57.78,5.924307600,55000,55000
