commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
d830adc5b86fb390c3e6e87a6c1fc8092cc5efcc,2085.12,79.69,8.688067226,54000,54000
fee23291a5c305e92269e11846bccf719a8de17a,1946.96,74.21,8.109644857,54000,54000
7ea37a5ca53aeb1c3a8fde4d33cf9ef47875263f,2354.57,90.43,9.812019861,54000,54000
53e8482e48ed28194e29164b52fd0a29ef89626f,1549.24,59.20,6.423237561,54000,54000
6f2d6fa3e5e78b38ea3153d1f35fb855b1ab8476,3415.21,132.01,14.062915662,54000,53000
14145e11550a43e444ef2e8a0bf5e9afa9b3948c,4175.11,161.95,17.151419454,54000,54000
fad9f0dbaa510f678b947c317560adc792a43606,2151.38,82.17,8.976521742,54000,54000
264c219330aeeff5b8d792abda83540aede62b8d,2844.26,109.43,11.809849558,54000,54000
41aad8d6939116d7f1e303e08b7090b49003388e,4144.75,160.88,17.046339987,54000,54000
1d1cf68430db1f2bdc74a96d33f3ccf2ef34ce31,2791.26,107.61,11.601292196,54000,54000
830009e50047d2ca55620929348a83f36b5f280a,4223.23,163.76,17.383794532,54000,54000
fc12713c754231fd13f55eb460c88480898619f5,1691.72,64.12,7.057938996,54000,54000
d36205f068560bd5d7b411717565ca0886487f25,1733.96,66.44,7.227796906,54000,54000
62da5b2a20c8132ac2c5e71574c24d33cfde369f,2072.40,79.58,8.649905322,54000,53000
f071960ddcb86aa2f657fcfea6e604599caf6ad7,2132.23,81.79,8.905603421,54000,54000
5b1e7dd682d20bb249acbcfbc604578da6384e9b,4155.29,161.27,17.135450392,54000,54000
ba72e542052a46f59035590c90b1a786b78bcafe,3461.41,134.65,14.257782656,54000,54000
35b2381d3fdd7d3e3374de1e75c6b6eaaa49f668,2836.70,109.62,11.804589169,54000,54000
c2386faca6c7ccd5c2c94f93eeba12218d6240a8,1685.00,64.32,7.036545914,54000,54000
2b404d03b3124718f0b546f81484c823e80acf53,1662.11,63.47,6.923334117,54000,54000
4d5144c796bc0b4a06115ef8463c56916e5fe469,2612.90,100.43,10.922115999,54000,54000
439fba786eae68c84cc61e07f330aad44870e3c4,2845.63,109.95,11.819470908,53000,54000
d830adc5b86fb390c3e6e87a6c1fc8092cc5efcc,2081.60,79.64,8.696067439,54000,54000
fee23291a5c305e92269e11846bccf719a8de17a,1956.45,75.11,8.167478808,54000,54000
7ea37a5ca53aeb1c3a8fde4d33cf9ef47875263f,2356.17,90.88,9.849752127,54000,54000
53e8482e48ed28194e29164b52fd0a29ef89626f,1534.26,58.45,6.395107898,54000,54000
6f2d6fa3e5e78b38ea3153d1f35fb855b1ab8476,3397.68,131.47,14.011666018,54000,54000
14145e11550a43e444ef2e8a0bf5e9afa9b3948c,4102.95,159.37,16.898794772,54000,54000
fad9f0dbaa510f678b947c317560adc792a43606,2137.02,81.54,8.935303542,54000,54000
264c219330aeeff5b8d792abda83540aede62b8d,2874.95,110.78,11.944211821,54000,54000
41aad8d6939116d7f1e303e08b7090b49003388e,4163.13,161.72,17.151338727,54000,54000
1d1cf68430db1f2bdc74a96d33f3ccf2ef34ce31,2754.17,105.49,11.454293924,54000,54000
830009e50047d2ca55620929348a83f36b5f280a,4157.31,161.45,17.088085367,54000,54000
fc12713c754231fd13f55eb460c88480898619f5,1702.91,64.68,7.087908686,53000,54000
d36205f068560bd5d7b411717565ca0886487f25,1727.48,65.96,7.199924078,54000,53000
62da5b2a20c8132ac2c5e71574c24d33cfde369f,2054.49,78.45,8.568099018,54000,54000
f071960ddcb86aa2f657fcfea6e604599caf6ad7,2132.61,81.27,8.904295817,54000,54000
5b1e7dd682d20bb249acbcfbc604578da6384e9b,4203.65,163.17,17.280488150,54000,54000
ba72e542052a46f59035590c90b1a786b78bcafe,3502.23,136.13,14.400644796,53000,54000
35b2381d3fdd7d3e3374de1e75c6b6eaaa49f668,2825.81,108.20,11.761914843,54000,54000
c2386faca6c7ccd5c2c94f93eeba12218d6240a8,1695.62,64.71,7.047476947,54000,54000
2b404d03b3124718f0b546f81484c823e80acf53,1663.90,63.56,6.911161310,54000,54000
4d5144c796bc0b4a06115ef8463c56916e5fe469,2631.72,100.89,10.979057442,54000,54000
439fba786eae68c84cc61e07f330aad44870e3c4,2825.40,108.94,11.719818545,53000,54000
d830adc5b86fb390c3e6e87a6c1fc8092cc5efcc,2090.68,79.95,8.720922342,54000,55000
fee23291a5c305e92269e11846bccf719a8de17a,1956.88,74.67,8.165817911,54000,54000
7ea37a5ca53aeb1c3a8fde4d33cf9ef47875263f,2335.90,89.53,9.752380514,55000,54000
53e8482e48ed28194e29164b52fd0a29ef89626f,1542.98,58.97,6.417183848,54000,54000
6f2d6fa3e5e78b38ea3153d1f35fb855b1ab8476,3428.74,133.44,14.105928198,54000,54000
14145e11550a43e444ef2e8a0bf5e9afa9b3948c,4138.50,161.15,17.045745798,54000,55000
fad9f0dbaa510f678b947c317560adc792a43606,2142.86,82.29,8.937684168,54000,54000
264c219330aeeff5b8d792abda83540aede62b8d,2827.79,108.64,11.765052734,54000,54000
41aad8d6939116d7f1e303e08b7090b49003388e,4151.51,162.28,17.104539658,54000,54000
1d1cf68430db1f2bdc74a96d33f3ccf2ef34ce31,2756.05,106.64,11.441461097,54000,54000
830009e50047d2ca55620929348a83f36b5f280a,4170.75,162.67,17.169290989,55000,54000
fc12713c754231fd13f55eb460c88480898619f5,1694.39,64.81,7.054152258,54000,54000
d36205f068560bd5d7b411717565ca0886487f25,1721.94,65.81,7.193410969,54000,54000
62da5b2a20c8132ac2c5e71574c24d33cfde369f,2052.27,78.49,8.576297113,54000,54000
f071960ddcb86aa2f657fcfea6e604599caf6ad7,2104.53,80.77,8.782448402,54000,54000
5b1e7dd682d20bb249acbcfbc604578da6384e9b,4130.41,160.24,16.998280503,54000,54000
ba72e542052a46f59035590c90b1a786b78bcafe,3478.80,134.99,14.344465052,54000,54000
35b2381d3fdd7d3e3374de1e75c6b6eaaa49f668,2816.60,108.01,11.734525235,54000,54000
c2386faca6c7ccd5c2c94f93eeba12218d6240a8,1735.50,66.08,7.240341814,54000,54000
2b404d03b3124718f0b546f81484c823e80acf53,1625.83,62.04,6.774982493,54000,54000
4d5144c796bc0b4a06115ef8463c56916e5fe469,2615.76,100.32,10.924725749,54000,54000
439fba786eae68c84cc61e07f330aad44870e3c4,2864.99,110.05,11.912617408,54000,54000
d830adc5b86fb390c3e6e87a6c1fc8092cc5efcc,2107.20,80.80,8.794503719,54000,55000
fee23291a5c305e92269e11846bccf719a8de17a,1962.53,75.33,8.183195552,54000,54000
7ea37a5ca53aeb1c3a8fde4d33cf9ef47875263f,2365.39,90.58,9.873190980,54000,54000
53e8482e48ed28194e29164b52fd0a29ef89626f,1548.60,59.26,6.437100444,54000,54000
6f2d6fa3e5e78b38ea3153d1f35fb855b1ab8476,3414.72,132.64,14.054840202,54000,54000
14145e11550a43e444ef2e8a0bf5e9afa9b3948c,4088.68,159.10,16.830356637,54000,54000
fad9f0dbaa510f678b947c317560adc792a43606,2163.84,82.89,9.024233055,54000,54000
264c219330aeeff5b8d792abda83540aede62b8d,2847.46,109.66,11.819543431,54000,54000
