commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
7a4785c0e918410f8e19293e9e1543a25490902e,1375.67,54.09,5.615009926,54000,53000
7a4785c0e918410f8e19293e9e1543a25490902e,1364.62,53.71,5.559320985,54000,53000
7a4785c0e918410f8e19293e9e1543a25490902e,1367.39,53.74,5.572929086,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1363.09,53.54,5.563435143,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1383.27,54.34,5.621358774,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1383.38,54.47,5.619445902,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1401.31,55.18,5.712054201,53000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1374.20,53.82,5.583366584,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1377.09,53.95,5.606867075,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1376.92,54.02,5.605885357,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1397.75,54.99,5.680665863,53000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1367.86,53.79,5.571471896,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1381.20,54.34,5.612989676,54000,53000
7a4785c0e918410f8e19293e9e1543a25490902e,1377.40,53.66,5.599470605,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1369.63,53.59,5.592148399,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1387.78,54.83,5.649877126,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1383.72,54.36,5.622477024,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1382.46,54.23,5.636078720,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1374.53,53.94,5.606954005,53000,53000
7a4785c0e918410f8e19293e9e1543a25490902e,1390.78,54.79,5.660939509,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1392.25,54.83,5.672667235,53000,53000
7a4785c0e918410f8e19293e9e1543a25490902e,1371.66,54.09,5.578932205,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1396.80,55.09,5.673615707,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1384.50,54.28,5.637823334,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1391.45,54.80,5.663706251,54000,53000
7a4785c0e918410f8e19293e9e1543a25490902e,1377.54,54.17,5.584384895,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1361.18,53.73,5.533851578,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1389.82,54.73,5.650261724,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1383.65,54.50,5.614951089,54000,53000
7a4785c0e918410f8e19293e9e1543a25490902e,1383.39,54.41,5.625113152,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1432.75,56.14,5.814182150,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1380.54,54.30,5.589878710,54000,55000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1411.81,55.44,5.722495279,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1395.46,54.47,5.664604705,55000,55000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1390.02,54.60,5.613285112,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1408.23,55.29,5.697184787,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1388.48,54.39,5.619829172,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1390.52,54.31,5.632810888,55000,55000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1397.30,54.56,5.657374721,54000,55000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1400.90,54.83,5.666081220,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1383.00,54.18,5.584749010,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1378.32,53.69,5.577283073,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1384.07,54.12,5.595816194,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1373.47,53.70,5.554645093,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1395.83,54.49,5.637068569,56000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1392.18,54.42,5.622844695,54000,56000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1389.05,54.28,5.617801003,55000,55000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1416.35,55.51,5.733295934,56000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1371.33,53.85,5.544028509,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1406.38,55.27,5.677345434,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1393.27,54.35,5.628407737,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1383.30,53.96,5.590052750,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1379.97,53.95,5.581773737,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1383.68,54.13,5.581801623,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1391.43,54.41,5.624975838,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1393.05,54.47,5.633778652,55000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1378.80,53.80,5.572846049,54000,54000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1395.98,54.58,5.631881651,55000,56000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1396.05,54.75,5.643844648,54000,55000
c162c333d1ed9bf56ddbbe940aa47b24928e1188,1405.96,55.04,5.680459284,55000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1395.96,54.73,5.642373451,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1388.72,54.49,5.606577109,54000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1416.64,55.39,5.737623542,54000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1395.09,54.49,5.646163711,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1398.77,54.51,5.661276650,54000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1388.69,54.18,5.614768342,54000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1407.75,54.98,5.699854152,55000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1371.72,53.57,5.551637419,54000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1422.06,55.75,5.752648803,54000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1390.16,54.32,5.612167284,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1389.78,54.41,5.620581478,54000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1384.25,54.00,5.604684080,55000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1404.15,55.13,5.679142189,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1389.40,54.43,5.620122698,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1392.75,54.43,5.631264794,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1395.32,54.57,5.648248510,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1389.59,54.49,5.611542234,54000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1421.41,55.71,5.747923534,54000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1386.19,54.38,5.597061144,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1386.20,54.23,5.596332579,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1401.93,54.74,5.662704187,54000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1390.57,54.36,5.611584030,54000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1378.86,53.96,5.571271905,55000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1403.57,54.79,5.679827180,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1385.04,54.25,5.606311741,54000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1381.80,54.07,5.583783316,54000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1427.98,55.90,5.773768754,55000,54000
81709c3a3ba89ce8796c91b876a284a062eb763f,1420.68,55.88,5.746612648,55000,56000
81709c3a3ba89ce8796c91b876a284a062eb763f,1380.30,53.80,5.582568512,55000,55000
81709c3a3ba89ce8796c91b876a284a062eb763f,1395.36,54.79,5.649937559,55000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1019.81,39.58,4.160179534,55000,56000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1022.43,39.50,4.174216477,54000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1025.06,39.85,4.176516099,55000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1027.23,39.84,4.179334814,55000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1015.20,39.37,4.141346925,54000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1022.34,39.56,4.164308772,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1017.56,39.43,4.143728668,55000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1035.07,40.17,4.224444194,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1030.78,40.01,4.197802466,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1036.13,40.24,4.212903597,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1035.92,40.16,4.218861272,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1031.86,40.17,4.208392098,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1012.23,39.19,4.128989222,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1015.69,39.25,4.142416736,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1015.17,39.18,4.146001138,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1012.56,39.33,4.132792246,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1021.26,39.76,4.161644271,54000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1023.32,39.73,4.167611746,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1024.92,39.64,4.177259888,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1017.23,39.46,4.145955065,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1013.41,39.24,4.130595646,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1034.68,40.07,4.212205208,56000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1030.82,39.87,4.193540145,55000,55000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1035.13,40.05,4.218212624,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1017.45,39.36,4.147037464,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1026.50,39.81,4.183429841,55000,56000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1027.87,39.82,4.190522530,54000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1023.58,39.78,4.175111102,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1017.68,39.48,4.150383299,55000,54000
3a7d98e5ec177a6030635f55c9d51600de0b91dc,1011.58,39.30,4.125031889,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1023.53,39.63,4.190896965,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1007.86,39.23,4.133871106,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1009.96,39.14,4.134983026,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1010.79,39.33,4.139378798,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1014.44,39.37,4.142372207,54000,55000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1023.35,39.66,4.174869690,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1020.81,39.55,4.175799232,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1011.64,39.24,4.132086247,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1023.58,39.71,4.186629129,55000,55000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1017.36,39.63,4.157358082,54000,55000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1026.38,39.99,4.188809553,55000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1024.72,39.70,4.185718859,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1006.98,38.97,4.122881813,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1019.53,39.50,4.164680153,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1009.35,39.24,4.125222874,55000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1013.74,39.32,4.135247476,55000,55000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1035.47,40.14,4.223282754,54000,55000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1015.35,39.50,4.151399615,56000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1008.39,39.15,4.121454503,54000,54000
a6ee0737b95d9ba16a2a433a515100499ce8b69c,1026.53,39.94,4.195903661,54000,55000
