commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1374.70,54.36,5.542629073,54000,56000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1384.39,54.64,5.550140931,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1395.11,54.93,5.580372113,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1406.85,55.28,5.626906844,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1375.70,54.21,5.505355253,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1395.93,54.85,5.585305186,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1392.00,54.74,5.568082576,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1390.91,54.57,5.561700008,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1389.14,54.41,5.554237130,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1413.84,55.73,5.672311608,54000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1386.43,54.65,5.550162275,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1406.34,55.42,5.628008636,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1401.40,54.99,5.608123458,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1376.35,54.28,5.503400519,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1394.35,54.94,5.597817901,54000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1396.11,54.88,5.583186171,56000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1382.59,54.59,5.528479941,54000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1388.53,54.74,5.557441582,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1405.77,54.96,5.627909458,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1386.08,54.39,5.552397089,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1404.32,55.11,5.626267210,54000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1374.10,54.13,5.500034194,54000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1408.66,55.58,5.644102181,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1395.74,54.92,5.580731145,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1394.65,54.88,5.575679208,56000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1395.94,54.84,5.592456230,55000,55000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1408.28,55.29,5.632665554,54000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1393.55,54.70,5.578310326,55000,54000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1368.10,53.74,5.471764132,55000,56000
2b9cfcc54dff7b79afd89be3ecf1a107b8290278,1384.92,54.40,5.547947916,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1399.56,55.26,5.642365112,56000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1402.97,55.36,5.642995046,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1375.82,54.16,5.528276507,54000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1400.33,55.14,5.601853387,56000,54000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1409.03,55.47,5.631938977,55000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1410.72,55.55,5.648159798,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1411.63,55.45,5.647926067,54000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1416.81,55.85,5.682511932,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1395.41,54.64,5.580549200,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1400.89,54.96,5.606323605,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1399.63,55.14,5.598985462,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1391.26,54.60,5.578578928,56000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1442.37,56.61,5.770240856,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1420.28,55.91,5.693280684,55000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1408.32,55.47,5.636623268,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1415.72,55.62,5.665593471,55000,54000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1404.68,55.41,5.623810985,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1436.38,56.60,5.749112116,56000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1405.36,55.21,5.624729387,55000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1389.35,54.57,5.559980110,54000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1424.81,55.87,5.708231301,55000,54000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1394.75,54.72,5.580557686,54000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1404.24,54.93,5.633501463,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1405.16,55.13,5.631012207,55000,54000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1415.47,55.54,5.671033194,55000,56000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1419.61,55.68,5.685967604,54000,54000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1402.13,55.21,5.613628835,54000,54000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1414.69,55.34,5.663442254,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1411.44,55.62,5.651865795,55000,55000
1150c0b02c435d2bd05e70933f5f12c82e212d8b,1438.11,56.45,5.755660691,56000,55000
5ebd5b32a6a8cbcebd5303dfd7f4f7b0b173bc53,1406.68,55.73,5.673461566,55000,55000
