commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
5004194179b47d482209dae0bd461021b47d2905,1696.78,65.35,7.107257968,56000,56000
df514d1e9b78c9f65f456cb491628a1ed35c09f2,1728.53,66.53,7.268298884,56000,55000
fa965fc9c01a582ecd24e3313f281e3485ee92ce,1678.35,64.52,7.028017165,56000,55000
50b51e4f0cfd43dd367c20aa9daaa344367e62d6,1725.69,66.68,7.229465436,55000,56000
6aa155ad0c6b1095a03ea203233204e8b2448a0a,1693.32,65.10,7.083816256,56000,56000
b73561feff01523a41d685d1574ba3c3feae99c0,1708.07,65.73,7.163044783,56000,55000
db6bec08d3d7920ac63ceacaee38fd55b087307c,1688.66,64.72,7.071734946,54000,56000
819140c4c070811d00c56b81ccd783ba25ea4a3e,1553.18,59.73,6.490154715,56000,55000
d6b57095d1f9047d5782f86751a8dd3a4b617f8d,1692.35,65.01,7.080772225,56000,56000
792a9d20eb6655608d0f116b07be4cdadf128190,1709.43,65.61,7.146093545,56000,55000
f6adeb635a48832b820b7dc4ad327ac76ccaf6f9,1730.83,66.44,7.257900298,55000,56000
f19bb9ebd79c68f1c2de4689fdff6531862744cf,1692.89,65.05,7.065927816,55000,55000
f41d77f3acf58022326a86c65e11fab8a4c4a89d,1730.24,66.40,7.260256112,56000,56000
ae064b5b63f07afdd43bf0a03adb10137624837e,1675.32,64.30,7.016241373,56000,55000
09ad7bbfca11fc098209f7dd7deea0c1e8afa461,1692.53,64.98,7.083855422,56000,56000
f19eaecb6b061f898396bc586c6e8e385143129e,1691.45,65.15,7.063384741,56000,55000
e70744486ab54353aec3fa0e6e95fb0ed324ac1e,1674.61,64.47,6.993802399,55000,55000
3129a11123fc5a3f9a3bf6251f4cb21603b74050,1692.13,65.06,7.064633572,55000,55000
f1a842f19b71a4a3b82314dcb9461af9b8f48316,1703.24,65.43,7.113562497,55000,56000
f86b61c7bf9a17dede135dcea46ed08f09941540,1684.56,64.74,7.036413999,55000,56000
6f503147f4c863917fd7d5082073361ca91e272a,1549.02,59.55,6.457308039,56000,55000
71fc46fee93c634a1ed6306f2cb2a6686c009d0a,1699.39,65.10,7.091227437,56000,55000
d36205f068560bd5d7b411717565ca0886487f25,1732.82,66.56,7.235394196,56000,56000
db6bec08d3d7920ac63ceacaee38fd55b087307c,1705.28,65.33,7.106867383,55000,55000
4f254b8bd7b03901db0c738865ad5db99400c58b,1692.89,64.89,7.061452112,55000,55000
d78f16ad68a0828a3c1f4d388c0c20b2b44e929f,1541.56,59.03,6.416639998,55000,55000
25ea73fd4729b66b33f7e692dfe78a3623185fcd,1697.08,64.93,7.075165659,54000,54000
1e757d4156e8c005aab93e1840942911b8b9ce1f,1700.65,65.18,7.078025849,54000,55000
4da19e8280159b7f681a39993cbd9d4499a1ed29,1749.65,67.13,7.296775588,55000,54000
ecca9d704a8463785b173a50b5ff0fa14b694beb,1654.88,63.18,6.902199447,55000,55000
792a9d20eb6655608d0f116b07be4cdadf128190,1703.18,64.83,7.102353821,56000,54000
ec78864156ce0d2edec673e7560165880b6f96be,1704.50,65.24,7.097968254,55000,55000
4f2f28f50a4437be8709c57796af20742c1522d6,1698.61,64.65,7.082197408,54000,55000
9e30ba1832b3728e75fa32c01a550fa0fe752f1e,1557.19,59.52,6.471972200,55000,55000
73ee02ffc641b421a41efd0d9628f18267363847,1710.28,65.47,7.137433963,55000,55000
6b5801aba68118094e711d17b0260f63fb666e66,1736.40,66.16,7.219452189,55000,55000
357742908740557472b561ad78dc4e12d4644de3,1706.76,64.95,7.113317627,55000,55000
65383641cfd6403fed504f7e847f8a337494332c,1700.69,65.05,7.080248817,54000,54000
6b5801aba68118094e711d17b0260f63fb666e66,1711.22,65.23,7.126401885,55000,54000
d78f16ad68a0828a3c1f4d388c0c20b2b44e929f,1546.09,58.97,6.436920400,54000,54000
5d55c9fd768ae276296b4927bf3f8d3a201d4024,1708.94,65.29,7.127531003,56000,55000
3987449bd6a419b1032853270788d3e2e05b5aa1,1718.24,65.52,7.172011364,54000,54000
34900b69029fc3be3655aa15910d289ae1dc0ad2,1531.32,58.33,6.374820961,54000,55000
bacc0f78534ed7cbeb85746b35b394afc7f50942,1700.13,65.13,7.075256149,54000,54000
53c4b0bed36991cdf39639388ee643a427ee68fe,1715.50,65.39,7.157778487,54000,54000
4f254b8bd7b03901db0c738865ad5db99400c58b,1704.09,65.06,7.102172548,54000,54000
8235f7536e4d743423f846cb950c2ac66d40220d,1707.65,65.27,7.115905472,54000,54000
53e8482e48ed28194e29164b52fd0a29ef89626f,1543.13,58.91,6.426496458,54000,54000
3a755ecff17551fd6fad918b9064092acbfad268,1546.76,59.08,6.441591417,54000,55000
fa965fc9c01a582ecd24e3313f281e3485ee92ce,1685.25,64.26,7.038087681,54000,54000
284ded2f2f94345e28187f6fc085c8ccc7183be1,1689.86,64.61,7.043668212,54000,54000
d36205f068560bd5d7b411717565ca0886487f25,1734.86,66.12,7.249698568,54000,54000
5bf7dcf1f91ad4412484f70f161e7d5b1520efb8,1712.11,65.32,7.149860644,54000,54000
ecca9d704a8463785b173a50b5ff0fa14b694beb,1648.92,63.11,6.872174502,54000,54000
357742908740557472b561ad78dc4e12d4644de3,1703.38,65.21,7.089191091,54000,54000
34900b69029fc3be3655aa15910d289ae1dc0ad2,1543.37,58.92,6.429221740,54000,54000
65383641cfd6403fed504f7e847f8a337494332c,1684.08,64.28,7.018672586,54000,54000
2ebfaac5e62772c6bef35edfe7ea6a648cad8fd3,1706.81,65.17,7.114659294,54000,54000
d9d64445d00414abd27cabb13f839bc8e5bb10cd,1727.82,66.16,7.217206590,54000,54000
302439937415b91d57149a07f05c59f0e571c6b1,1732.30,66.59,7.226788283,54000,54000
25ea73fd4729b66b33f7e692dfe78a3623185fcd,1692.74,64.68,7.049424966,55000,54000
134f4a6a933918cefa50638d4da80dba5850ac56,1677.31,63.95,6.997974185,55000,54000
6b00ea074962405e8990ce916709a5e3d457d8cc,1694.92,64.69,7.067940566,54000,55000
2ebfaac5e62772c6bef35edfe7ea6a648cad8fd3,1713.28,65.53,7.137558175,54000,54000
9e68619d10eed6bb801522bd6290cb97ec23e3f3,1712.44,65.57,7.128458548,54000,54000
3987449bd6a419b1032853270788d3e2e05b5aa1,1724.82,66.06,7.195147244,54000,54000
50b51e4f0cfd43dd367c20aa9daaa344367e62d6,1715.73,65.69,7.158220982,54000,54000
833d187c68e7aa0466a2256ad46d1b78ed025c30,1686.15,64.18,7.037720744,54000,54000
f6adeb635a48832b820b7dc4ad327ac76ccaf6f9,1742.18,66.62,7.276581044,54000,54000
9e68619d10eed6bb801522bd6290cb97ec23e3f3,1702.37,65.25,7.083384005,54000,54000
76f736e9a1274a4c332829217235965cacd59d3f,1696.33,64.71,7.067316175,54000,54000
2a15a1eab03688c9bdf77603032551f1d7bac7aa,1735.28,66.34,7.246070469,54000,54000
efe4e47807c8ababff2e55c0cb7f93fc22eea129,1691.40,64.63,7.046405057,54000,54000
8ed680f5cf481545b6e3c635a2cdea4c933ae758,1705.02,64.74,7.110783258,54000,54000
