commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
7a4785c0e918410f8e19293e9e1543a25490902e,1379.25,54.14,5.592681420,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1421.33,55.85,5.756692924,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1418.49,55.64,5.745578083,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1379.82,53.98,5.597756775,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1395.47,54.41,5.656339332,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1404.17,55.02,5.692501677,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1380.22,54.10,5.591348451,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1406.55,55.25,5.702582633,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1381.95,54.14,5.609878641,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1423.24,56.02,5.776935562,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1383.12,54.62,5.598519058,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1383.42,54.41,5.620373560,56000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1384.76,54.36,5.619793492,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1377.43,54.28,5.578675050,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1378.13,54.12,5.585336724,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1367.29,53.94,5.541426483,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1392.51,54.68,5.634270799,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1393.20,54.92,5.633439031,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1362.03,53.36,5.516805782,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1382.85,54.18,5.609474195,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1374.80,53.89,5.572923057,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1376.48,54.00,5.592709147,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1381.41,54.15,5.595086560,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1377.69,54.16,5.586556571,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1379.09,53.93,5.590218885,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1391.23,54.40,5.648718162,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1392.79,54.53,5.658481431,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1375.84,53.87,5.577889627,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1387.62,54.18,5.631321455,54000,55000
