commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
7a4785c0e918410f8e19293e9e1543a25490902e,1538.45,60.29,6.291985701,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1542.08,59.95,6.243715945,56000,56000
7a4785c0e918410f8e19293e9e1543a25490902e,1569.65,61.32,6.361972713,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1581.24,61.44,6.414955803,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1554.18,60.37,6.303238108,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1553.47,60.19,6.292720894,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1540.34,59.51,6.255397535,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1561.56,60.56,6.342566160,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1561.35,60.61,6.314835565,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1551.11,60.27,6.277294964,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1545.47,59.79,6.252743785,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1557.27,60.28,6.291913959,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1562.27,60.70,6.331013727,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1562.98,60.61,6.337832850,55000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1561.78,60.65,6.321285418,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1580.12,61.25,6.408997605,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1552.98,60.10,6.287611742,55000,56000
7a4785c0e918410f8e19293e9e1543a25490902e,1568.84,61.12,6.346578111,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1562.77,60.75,6.331911908,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1568.52,60.74,6.364044086,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1552.37,60.21,6.297226339,54000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1571.90,60.83,6.387334835,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1570.11,60.91,6.387668993,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1538.20,59.68,6.230501670,55000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1555.42,60.23,6.304880469,54000,55000
7a4785c0e918410f8e19293e9e1543a25490902e,1552.73,60.39,6.305130635,56000,54000
7a4785c0e918410f8e19293e9e1543a25490902e,1570.45,60.97,6.384249398,55000,54000
